date,average_temperature
2023-07-29,28.776225490196058
2023-07-30,29.0156862745098
2023-07-31,28.8669117647059
2023-08-01,28.747058823529436
2023-08-02,28.261519607843155
2023-08-03,29.251715686274498
2023-08-04,29.774019607843172
2023-08-05,29.41887254901959
2023-08-06,28.691176470588243
2023-08-07,28.060539215686287
2023-08-08,27.999019607843138
2023-08-09,27.685784313725506
2023-08-10,28.874754901960795
2023-08-11,29.214950980392167
2023-08-12,28.20833333333331
2023-08-13,27.63750000000001
2023-08-14,27.78529411764706
2023-08-15,28.719607843137243
2023-08-16,28.666176470588233
2023-08-17,28.810784313725453
2023-08-18,28.562009803921576
2023-08-19,28.931617647058818
2023-08-20,29.349264705882344
2023-08-21,29.49681372549022
2023-08-22,28.670098039215663
2023-08-23,27.59313725490194
2023-08-24,27.739950980392138
2023-08-25,27.560049019607852
2023-08-26,27.199754901960777
2023-08-27,29.10000000000003
2023-08-28,29.789215686274527
2023-08-29,29.843137254901958
2023-08-30,30.11348039215687
2023-08-31,29.632352941176453
2023-09-01,29.53700980392156
2023-09-02,28.86740196078431
2023-09-03,28.293382352941187
2023-09-04,27.347303921568624
2023-09-05,27.25710784313724
2023-09-06,28.045098039215695
2023-09-07,26.98578431372548
2023-09-08,27.34901960784313
2023-09-09,28.32769607843135
2023-09-10,29.024509803921582
2023-09-11,28.9933823529412
2023-09-12,28.266176470588235
2023-09-13,27.953676470588242
2023-09-14,27.615441176470593
2023-09-15,27.47254901960784
2023-09-16,28.465441176470588
2023-09-17,29.090441176470602
2023-09-18,27.43112745098037
2023-09-19,27.06838235294119
2023-09-20,27.177696078431396
2023-09-21,27.694362745098044
2023-09-22,27.426960784313742
2023-09-23,28.0125
2023-09-24,27.38480392156864
2023-09-25,27.373284313725485
2023-09-26,27.83848039215685
2023-09-27,28.37794117647059
2023-09-28,28.592647058823573
2023-09-29,28.217401960784326
2023-09-30,26.500490196078427
2023-10-01,27.0985294117647
2023-10-02,27.062254901960777
2023-10-03,26.37671568627451
2023-10-04,25.949264705882392
2023-10-05,26.71593137254901
2023-10-06,27.468382352941155
2023-10-07,28.04926470588235
2023-10-08,27.808578431372574
2023-10-09,28.339215686274517
2023-10-10,29.292892156862727
2023-10-11,29.42450980392158
2023-10-12,28.814460784313734
2023-10-13,28.448774509803922
2023-10-14,27.845588235294127
2023-10-15,27.691911764705882
2023-10-16,27.284068627450996
2023-10-17,27.472549019607847
2023-10-18,27.143382352941153
2023-10-19,26.765441176470596
2023-10-20,26.36127450980393
2023-10-21,25.89093137254904
2023-10-22,27.038235294117626
2023-10-23,25.773529411764695
2023-10-24,25.630392156862733
2023-10-25,26.732598039215684
2023-10-26,26.741176470588258
2023-10-27,25.750490196078406
2023-10-28,25.874509803921562
2023-10-29,25.512990196078466
2023-10-30,25.773039215686257
2023-10-31,26.462009803921546
2023-11-01,27.28112745098039
2023-11-02,27.519362745098046
2023-11-03,26.640686274509775
2023-11-04,25.586764705882374
2023-11-05,25.26127450980394
2023-11-06,25.73970588235293
2023-11-07,24.8328431372549
2023-11-08,24.65098039215687
2023-11-09,25.465686274509782
2023-11-10,25.167156862745095
2023-11-11,24.859068627450988
2023-11-12,24.91078431372549
2023-11-13,24.423284313725453
2023-11-14,24.233578431372543
2023-11-15,25.005882352941185
2023-11-16,24.075735294117656
2023-11-17,24.640441176470567
2023-11-18,23.302941176470608
2023-11-19,23.721568627450985
2023-11-20,23.851470588235298
2023-11-21,24.418137254901957
2023-11-22,22.859558823529408
2023-11-23,21.907352941176462
2023-11-24,22.960539215686282
2023-11-25,22.597058823529395
2023-11-26,22.89681372549019
2023-11-27,23.071813725490202
2023-11-28,23.716421568627446
2023-11-29,23.81470588235294
2023-11-30,23.724999999999994
2023-12-01,23.86348039215685
2023-12-02,23.670588235294126
2023-12-03,23.987990196078435
2023-12-04,23.855882352941187
2023-12-05,23.581127450980386
2023-12-06,23.33308823529411
2023-12-07,20.236029411764694
2023-12-08,21.121568627450962
2023-12-09,20.741421568627466
2023-12-10,19.524019607843154
2023-12-11,18.49754901960783
2023-12-12,18.467401960784308
2023-12-13,19.04191176470588
2023-12-14,18.654901960784315
2023-12-15,17.69117647058822
2023-12-16,18.052941176470565
2023-12-17,17.867401960784324
2023-12-18,17.861029411764708
2023-12-19,17.747549019607842
2023-12-20,18.1174019607843
2023-12-21,18.372058823529404
2023-12-22,19.64362745098038
2023-12-23,20.03039215686276
2023-12-24,19.881862745098022
2023-12-25,20.283088235294105
2023-12-26,20.186764705882354
2023-12-27,20.50980392156862
